emp_no,first_name,last_name,birth_date,from_date,to_date,dept_name
18754,Sumant,Schade,1960-07-30,1998-08-12,9999-01-01,Development
18841,Kwok,Baezner,1961-01-21,1998-06-07,9999-01-01,Human Resources
18844,Anneli,Seuren,1957-05-23,1999-01-26,9999-01-01,Production
19039,Owen,Frijda,1961-01-04,1998-03-22,9999-01-01,Quality Management
19056,Leaf,Nishimukai,1955-09-27,1999-12-12,9999-01-01,Development
19063,Shaz,Suermann,1958-11-03,1999-08-18,9999-01-01,Sales
19090,Zijian,Peot,1959-08-29,1999-12-17,9999-01-01,Production
19116,Xuedong,Cherinka,1955-10-27,1998-12-25,9999-01-01,Development
19152,Xudong,McAffer,1964-03-08,1998-08-09,9999-01-01,Sales
19283,Breannda,Erol,1961-05-01,1999-07-05,9999-01-01,Production
19289,Guther,Waymire,1954-06-11,1998-11-12,9999-01-01,Development
19459,Sadun,Kawashimo,1955-01-19,1999-08-18,9999-01-01,Research
19477,Persi,Tramer,1963-09-28,1998-09-07,9999-01-01,Research
19714,Qiwen,Dulli,1964-11-30,1999-02-26,9999-01-01,Development
19810,Tesuro,Pellegrinelli,1954-03-28,1998-08-13,9999-01-01,Research
19854,Youssef,Orsini,1955-06-07,1999-08-28,9999-01-01,Development
20131,Gen,Rijckaert,1959-08-28,1998-05-24,9999-01-01,Sales
20322,Shmuel,Porotnikoff,1952-05-21,1999-09-05,9999-01-01,Human Resources
20409,Luise,Vesel,1958-12-07,1999-04-07,9999-01-01,Development
20719,Thanasis,Monarch,1962-05-18,1999-10-21,9999-01-01,Sales
20725,Yuichiro,Taubman,1952-07-17,1999-06-04,9999-01-01,Development
20764,Ibibia,Rosen,1962-12-05,1999-10-23,9999-01-01,Production
20792,Kazunori,Trumbly,1964-05-21,1998-10-17,9999-01-01,Research
20945,Mark,Marsiglia,1955-12-22,1998-10-24,9999-01-01,Production
21071,Premsyl,Sessa,1963-07-02,1998-06-16,9999-01-01,Quality Management
21125,Lucian,Asrin,1957-10-24,2002-07-12,9999-01-01,Marketing
21179,Gaurav,Strehl,1956-11-13,1998-04-07,9999-01-01,Development
21188,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Development
21355,Sadun,Ligten,1954-08-24,1998-04-10,9999-01-01,Production
21429,Goh,Gils,1962-03-15,1999-11-03,9999-01-01,Production
21440,Lene,Rindone,1958-06-03,1999-08-20,9999-01-01,Research
21455,Tayeb,Peral,1958-05-06,1999-11-16,9999-01-01,Sales
21759,Zhaofang,Rossi,1957-08-10,1998-08-18,9999-01-01,Development
21778,Arup,Melton,1964-12-01,1999-10-22,9999-01-01,Customer Service
22006,Ortrun,Ladret,1958-02-21,1999-09-01,9999-01-01,Research
22063,Van,Kusalik,1952-06-24,1998-01-07,9999-01-01,Production
22094,Hirochika,Terwilliger,1956-06-18,1999-06-20,9999-01-01,Marketing
22098,Shounak,Tetzlaff,1963-04-19,1999-02-16,9999-01-01,Development
22105,Leah,Aamodt,1964-12-10,1999-02-07,9999-01-01,Production
22106,Uriel,Halevi,1952-09-30,1999-06-23,9999-01-01,Quality Management
22138,Gaurav,Anandan,1953-11-28,2001-12-14,9999-01-01,Production
22171,Jaideep,Crooks,1952-06-01,1998-11-29,9999-01-01,Customer Service
22349,Adamantios,Tasistro,1959-09-23,1999-06-19,9999-01-01,Quality Management
22378,Tooru,Shumilov,1952-04-02,1999-12-28,9999-01-01,Research
22513,Hilari,Spinelli,1958-01-19,1998-08-28,9999-01-01,Finance
22517,Doohun,Peek,1960-02-12,1998-05-23,9999-01-01,Development
22689,Salvador,Maginnis,1952-05-26,1999-09-05,9999-01-01,Development
22694,Shuky,Nastansky,1964-02-27,2000-01-21,9999-01-01,Production
22762,Masali,Bazelow,1958-05-08,1998-05-04,9999-01-01,Marketing
22836,Radhakrishnan,Krzyzanowski,1960-06-16,1999-01-02,9999-01-01,Production
22979,Subbu,Krohn,1964-03-24,1999-10-23,9999-01-01,Quality Management
23115,Dmitry,Tempesti,1964-08-18,1999-04-06,9999-01-01,Production
23274,Ferdinand,Zucker,1952-04-27,1998-09-03,9999-01-01,Production
23293,Yagil,Rassart,1958-11-13,1998-05-27,9999-01-01,Sales
23456,Sanjai,Feldhoffer,1962-01-15,1999-02-26,9999-01-01,Development
23459,Gretta,Varker,1956-10-16,1998-11-23,9999-01-01,Sales
23464,Tomokazu,Baranowski,1961-01-10,1998-03-16,9999-01-01,Sales
23488,Raimond,Birsak,1964-02-16,1998-09-26,9999-01-01,Development
23541,Marek,Kermarrec,1959-06-01,1998-04-30,9999-01-01,Development
23563,Muzhong,Bale,1954-10-03,1999-09-13,9999-01-01,Research
23614,Djenana,Christ,1957-02-17,1998-01-07,9999-01-01,Development
23627,Uwe,Hatcliff,1953-04-27,1998-04-11,9999-01-01,Research
23635,Chrisa,Bodoff,1958-08-27,1998-02-09,9999-01-01,Marketing
23647,Mads,Bellone,1956-02-21,2000-08-18,9999-01-01,Development
23725,Zita,Gaughan,1952-12-05,1999-11-03,9999-01-01,Marketing
23786,Cullen,Zastre,1953-02-14,1998-06-16,9999-01-01,Sales
23789,Lein,Basagni,1964-03-11,1999-02-12,9999-01-01,Research
23959,Quingbo,Baumann,1961-06-09,1999-01-20,9999-01-01,Finance
23983,Temple,Polajnar,1957-06-04,1999-11-28,9999-01-01,Development
24013,Aris,Mattern,1961-12-03,1998-10-29,9999-01-01,Development
24035,Utpal,Perfilyeva,1959-12-09,1998-03-31,9999-01-01,Development
24104,Chaosheng,Sankaranarayanan,1964-11-16,2001-07-16,9999-01-01,Research
24105,Salvador,Munoz,1952-10-10,1999-05-06,9999-01-01,Development
24157,Pintsang,Zobel,1964-05-07,1999-04-16,9999-01-01,Finance
24273,Qingxiang,Albarhamtoshy,1961-10-25,1998-08-03,9999-01-01,Production
24320,Quingbo,Azulay,1957-09-26,1998-02-01,9999-01-01,Production
24404,Aamer,Tsukuda,1960-04-21,1999-08-10,9999-01-01,Quality Management
24528,True,Luan,1962-10-24,1998-07-22,9999-01-01,Quality Management
24530,Shen,Bhattacharjee,1953-05-28,1999-01-07,9999-01-01,Sales
24538,Shan,Rajaraman,1960-10-20,1998-07-04,9999-01-01,Development
24604,Miquel,Peck,1955-12-05,2001-11-08,9999-01-01,Research
24652,Keung,Haddadi,1954-05-18,1999-12-04,9999-01-01,Quality Management
24763,Martijn,Bolsens,1955-01-17,1998-04-28,9999-01-01,Development
24777,Uli,Asmuth,1956-01-31,1998-10-14,9999-01-01,Development
24851,Joydip,Francisci,1956-07-06,1999-06-25,9999-01-01,Human Resources
24867,Odysseas,Ouhyoung,1952-05-09,1999-08-20,9999-01-01,Quality Management
24871,Irene,Paludetto,1952-04-13,1999-02-27,9999-01-01,Sales
24899,Xuejun,Snyers,1961-08-21,1998-07-09,9999-01-01,Development
25098,Adel,Shiratori,1964-06-08,1999-06-26,9999-01-01,Finance
25135,Eran,Frolund,1957-10-31,1999-06-19,9999-01-01,Development
25165,Tayeb,Grabner,1952-12-13,1998-03-18,9999-01-01,Human Resources
25218,Weiru,Zastre,1958-03-08,1998-08-13,9999-01-01,Research
25294,Berna,Manders,1963-07-18,1999-01-28,9999-01-01,Marketing
25318,Dante,Christ,1957-01-17,2000-01-31,9999-01-01,Development
25389,Sven,Dratva,1961-07-21,1999-04-25,9999-01-01,Sales
25567,Weiwu,Levasseur,1958-03-21,1998-04-22,9999-01-01,Production
25583,Fun,Fandrianto,1954-09-15,1999-06-22,9999-01-01,Development
25608,Vivian,Unni,1960-02-13,1999-08-18,9999-01-01,Human Resources
25611,Stafford,Benaini,1955-07-19,1999-03-01,9999-01-01,Production
25612,Tomofumi,Mawatari,1962-01-20,1998-02-19,9999-01-01,Finance
26013,Martijn,Malabarba,1952-08-13,1999-06-16,9999-01-01,Production
26208,Clyde,Wallrath,1955-11-05,1998-05-16,9999-01-01,Marketing
26219,Bernd,Kavraki,1956-06-16,2001-11-03,9999-01-01,Research
26298,Nevin,Muhling,1960-09-15,2000-01-05,9999-01-01,Research
26340,Pradeep,Bahl,1952-03-21,1998-03-30,9999-01-01,Development
26353,Avishai,Alameldin,1955-05-03,1999-01-07,9999-01-01,Development
26390,Radhia,Dulin,1956-09-15,1999-07-05,9999-01-01,Human Resources
26466,Giri,Koblick,1964-07-03,1999-07-26,9999-01-01,Sales
26638,Basem,Hutton,1953-02-04,2001-02-27,9999-01-01,Customer Service
26659,Luigi,Duclos,1960-05-20,2000-12-01,9999-01-01,Production
26754,Lucien,Kowalchuk,1952-07-27,1999-12-03,9999-01-01,Development
26827,Elvia,Roisin,1952-06-16,1999-09-20,9999-01-01,Development
26914,Xuejun,Ramsay,1953-12-07,1998-05-21,9999-01-01,Customer Service
26998,Arif,Meriste,1963-12-28,1999-10-31,9999-01-01,Quality Management
27058,Bangqing,Olano,1964-03-01,1998-03-30,9999-01-01,Production
27078,Demos,Matzen,1961-03-30,1999-08-23,9999-01-01,Research
27132,Hsiangchu,Chimia,1963-06-26,1999-08-27,9999-01-01,Sales
27140,Koichi,Zolotykh,1957-03-04,1998-06-05,9999-01-01,Development
27378,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Finance
27407,Lijia,Danecki,1960-11-27,1999-06-18,9999-01-01,Development
27715,Khoa,Adachi,1953-03-11,1999-11-22,9999-01-01,Customer Service
27725,DAIDA,Pavlopoulou,1952-12-01,1998-11-11,9999-01-01,Human Resources
27850,Radoslaw,Perz,1954-12-01,1998-09-26,9999-01-01,Finance
27879,Feiyu,Kusakabe,1961-03-10,1998-08-13,9999-01-01,Quality Management
27922,Chrisa,Straney,1961-05-25,1998-11-03,9999-01-01,Research
27934,Berto,Bresenham,1963-03-16,1998-11-20,9999-01-01,Development
28031,Uma,Camurati,1962-06-11,1998-08-19,9999-01-01,Development
28033,Lokesh,Schurmann,1953-01-08,1999-11-06,9999-01-01,Development
28038,Subhankar,Katzenelson,1956-11-27,1999-09-18,9999-01-01,Production
28083,Dhritiman,Keohane,1958-09-13,1999-06-13,9999-01-01,Marketing
28106,Tomoyuki,Garigliano,1962-08-05,1998-04-03,9999-01-01,Production
28151,Reuven,Keirsey,1956-06-11,1998-10-12,9999-01-01,Marketing
28435,Jiong,Rosenbaum,1958-09-28,1998-09-17,9999-01-01,Marketing
28496,Xudong,Mellouli,1957-12-02,2001-11-02,9999-01-01,Quality Management
28498,Khun,Rosaz,1952-12-21,1998-04-27,9999-01-01,Human Resources
28499,Irena,Brodie,1960-02-12,1998-07-25,9999-01-01,Finance
28561,Basem,Speek,1952-02-23,1998-12-03,9999-01-01,Sales
28580,Yannis,Heyers,1953-08-18,1999-10-28,9999-01-01,Human Resources
28614,Sarita,Lorys,1954-04-21,1998-12-28,9999-01-01,Production
28670,Kankanahalli,Teitelbaum,1960-12-19,2000-01-23,9999-01-01,Human Resources
28736,Goa,Linnainmaa,1956-08-09,1998-07-26,9999-01-01,Sales
28926,Nikolaos,Keustermans,1962-08-19,1998-08-01,9999-01-01,Production
28951,Dines,Montresor,1956-03-19,1998-01-02,9999-01-01,Development
28961,Alois,Panienski,1963-04-25,1998-12-20,9999-01-01,Development
28988,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Production
29007,Mihalis,Sinicrope,1963-02-25,1999-11-07,9999-01-01,Development
29075,Weiru,Compeau,1958-08-02,1999-11-08,9999-01-01,Production
29145,Heeju,Doering,1959-09-18,1998-05-19,9999-01-01,Sales
29375,Mohammed,Cmelik,1964-07-16,1998-04-15,9999-01-01,Sales
29380,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Production
29452,Ewing,Nourani,1960-10-15,1999-01-01,9999-01-01,Development
29462,Eldridge,Pezzoli,1956-02-12,1998-04-29,9999-01-01,Sales
29473,Lansing,Falby,1964-08-18,2001-08-15,9999-01-01,Marketing
29474,Tsvetan,Ghemri,1961-05-13,1998-03-01,9999-01-01,Marketing
29613,Gudjon,Zhang,1962-09-16,1998-12-19,9999-01-01,Quality Management
29641,Sivanarayana,Boissier,1960-03-01,1998-08-06,9999-01-01,Production
29691,Guadalupe,Gargeya,1963-03-04,1998-07-08,9999-01-01,Development
29723,Guiseppe,Radhakrishnan,1954-05-28,1999-11-10,9999-01-01,Development
29803,Steen,Comte,1953-05-16,1998-01-25,9999-01-01,Production
29914,Tsutomu,Muntz,1957-12-14,1999-01-20,9999-01-01,Production
29968,Tru,Lodder,1957-11-28,1998-11-21,9999-01-01,Finance
30006,Alper,Katiyar,1961-10-10,1998-07-04,9999-01-01,Development
30120,Francoise,Ghelli,1952-03-18,2002-02-25,9999-01-01,Production
30243,Ewing,Crouzet,1958-11-15,1998-06-26,9999-01-01,Production
30291,Alejandro,Stille,1959-12-17,1999-07-18,9999-01-01,Production
30456,Gladys,Foote,1960-10-09,1999-05-16,9999-01-01,Sales
30514,Leon,Rouquie,1953-08-21,1999-07-12,9999-01-01,Production
30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Development
30784,Along,Griswold,1954-03-13,1998-08-22,9999-01-01,Sales
30806,Leen,Furudate,1954-07-18,1998-03-03,9999-01-01,Production
30840,Luise,Demeyer,1960-04-23,1998-12-28,9999-01-01,Sales
30841,Holgard,Dulay,1964-04-03,1999-09-04,9999-01-01,Marketing
30889,Heekeun,Sevcikova,1959-08-07,1998-03-31,9999-01-01,Finance
30896,Adib,Krohm,1956-09-02,1998-10-28,9999-01-01,Production
30989,Fumitake,Crooks,1955-10-09,1999-08-06,9999-01-01,Development
31102,Breannda,Yetto,1956-11-05,1998-10-15,9999-01-01,Research
31121,Chaosheng,Peres,1957-08-17,1998-04-12,9999-01-01,Production
31229,Slavian,Pfau,1957-01-07,1999-08-11,9999-01-01,Development
31361,Jouko,Danley,1952-08-02,1999-02-25,9999-01-01,Human Resources
31418,Herbert,Grospietsch,1956-03-13,1999-08-06,9999-01-01,Sales
31421,Trygve,Mattern,1954-08-02,1998-09-20,9999-01-01,Research
31479,Gennadi,Taneja,1963-12-05,2000-07-26,9999-01-01,Sales
31576,Eran,Erie,1959-07-02,1998-11-17,9999-01-01,Sales
31618,Susanne,Snedden,1957-11-01,1999-01-03,9999-01-01,Development
31721,Erez,Gimbel,1955-11-15,1998-11-21,9999-01-01,Production
31853,Gila,Ballarin,1960-10-06,1999-08-25,9999-01-01,Development
31930,Sivanarayana,Merlo,1959-03-28,1998-09-18,9999-01-01,Sales
31949,Supot,Chorvat,1961-03-15,2000-01-09,9999-01-01,Quality Management
31990,Martial,Varley,1960-10-11,1999-07-16,9999-01-01,Marketing
32173,Irena,Harbusch,1962-02-25,1999-09-22,9999-01-01,Finance
32198,Pantung,Stavenow,1960-01-31,1998-03-01,9999-01-01,Sales
32356,Akemi,Murtagh,1958-11-07,1998-10-23,9999-01-01,Production
32504,Teunis,Benaini,1958-09-29,2000-02-23,9999-01-01,Finance
32532,Chenxi,Dulli,1958-08-14,1999-12-19,9999-01-01,Development
32545,Uta,Lamparter,1963-03-03,1998-01-30,9999-01-01,Production
32548,Gilbert,Kolvik,1963-05-31,1999-11-29,9999-01-01,Human Resources
32691,Ghassan,Simmen,1955-10-19,1999-03-07,9999-01-01,Sales
32715,Nathalie,Percebois,1956-11-06,1998-10-14,9999-01-01,Development
32788,Zhaofang,Janetzko,1958-10-01,2000-01-11,9999-01-01,Production
32800,Branimir,Gips,1956-08-31,1998-08-07,9999-01-01,Human Resources
32812,Manibrata,Serot,1955-12-10,1999-04-16,9999-01-01,Development
32937,Jiang,Gelosh,1959-11-10,1998-05-05,9999-01-01,Sales
32983,Randy,Baaz,1958-02-21,1998-02-21,9999-01-01,Research
33068,True,Garnick,1961-04-13,1999-01-16,9999-01-01,Sales
33105,Stafford,Bergere,1953-04-06,1998-03-22,9999-01-01,Production
33131,Reinhold,Savasere,1952-02-02,1998-01-30,9999-01-01,Quality Management
33214,Gor,Peternell,1964-01-12,1999-12-07,9999-01-01,Development
33277,Huican,Tempesti,1964-06-29,1999-05-22,9999-01-01,Production
33359,Emdad,Berztiss,1955-03-10,2000-01-15,9999-01-01,Finance
33363,Volkmar,Bugaenko,1954-03-16,1998-12-27,9999-01-01,Quality Management
33534,Francoise,Validov,1964-10-12,1999-09-13,9999-01-01,Sales
33545,Yinghua,Daescu,1955-11-11,1999-01-06,9999-01-01,Marketing
33615,Ortrud,Riesenhuber,1960-11-30,1999-02-10,9999-01-01,Research
33622,Angel,Barvinok,1958-01-11,1998-05-21,9999-01-01,Production
33639,Mads,Decaestecker,1961-09-07,1999-04-17,9999-01-01,Development
33689,Chenye,Zedlitz,1964-08-16,1998-03-21,9999-01-01,Sales
33865,Khaled,Delgrossi,1961-01-26,1998-04-17,9999-01-01,Sales
33889,Debaprosad,Marrakchi,1957-02-01,1998-12-16,9999-01-01,Production
33936,Khun,Bernini,1952-12-25,1999-10-26,9999-01-01,Development
33939,Fayez,Kinley,1956-03-08,1998-12-11,9999-01-01,Development
33940,Mostafa,Munos,1955-01-17,1999-06-21,9999-01-01,Development
33960,Weijing,Sessa,1963-11-20,1998-08-08,9999-01-01,Development
33968,Steen,Hasham,1962-03-25,1999-01-17,9999-01-01,Sales
33974,Hyuckchul,Slutz,1964-04-29,1998-09-21,9999-01-01,Development
34020,Susanna,Encarnacion,1952-10-11,1999-02-12,9999-01-01,Development
34035,Weiru,Sifakis,1957-10-28,1999-03-28,9999-01-01,Development
34131,Yakkov,Shrader,1953-03-22,1998-09-12,9999-01-01,Development
34235,Pintsang,Ratzlaff,1960-08-11,2001-10-19,9999-01-01,Customer Service
34251,Katsuo,Thorensen,1958-01-25,1999-08-06,9999-01-01,Development
34359,Tsuneo,Baer,1962-03-15,1998-08-14,9999-01-01,Sales
34415,Kazuhisa,Pulkowski,1956-04-07,1998-06-28,9999-01-01,Production
